DMX ID,Light ID,Dome Theta,Dome Phi,Dome X,Dome Y,Dome Z,Pixel U,Pixel V
5,150,0.748466,2.91766,-0.663524,0.732734,0.151119,0.96436,0.238244
8,80,2.02277,1.19362,0.331311,-0.436741,0.836355,0.689971,0.643867
1,170,2.24082,5.26183,0.40931,-0.621006,-0.668444,0.337446,0.713276
2,150,0.638394,4.65652,-0.0332763,0.803054,-0.594976,0.241108,0.203207
9,130,1.80139,0.406499,0.894199,-0.228552,0.384931,0.564696,0.573399
6,170,2.22405,2.08986,-0.393934,-0.607772,0.689514,0.832612,0.707937
2,30,1.53108,5.13591,0.41065,0.0397108,-0.910928,0.317406,0.487356
9,50,0.351559,0.66652,0.270661,0.938837,0.212903,0.60608,0.111905
4,180,1.75475,3.39093,-0.952727,-0.182917,-0.242594,0.0396825,0.558554
6,10,2.774,2.63631,-0.314459,-0.933197,0.173952,0.919582,0.882993
5,30,1.57467,3.2646,-0.992437,-0.00387863,-0.122693,0.0195767,0.501235
3,180,1.75993,4.01622,-0.62985,-0.188011,-0.753619,0.139201,0.560204
1,10,2.76621,5.72884,0.311725,-0.930367,-0.192991,0.411772,0.880511
3,195,0.760465,4.12895,-0.37971,0.724516,-0.575237,0.157143,0.242063
5,25,1.86024,3.25867,-0.951842,-0.285418,-0.111952,0.0186335,0.592133
4,195,0.785398,3.35103,-0.691655,0.707107,-0.147016,0.0333333,0.25
9,45,0.673199,0.598399,0.515152,0.781831,0.351224,0.595238,0.214286
2,25,1.8589,5.13465,0.39293,-0.284131,-0.874572,0.317204,0.591705
7,200,0.283359,1.87,-0.0824085,0.960122,0.267161,0.797619,0.0901961
6,165,2.61019,2.21342,-0.303693,-0.862097,0.40566,0.852277,0.830849
9,125,2.24998,0.471738,0.693104,-0.628157,0.35359,0.575079,0.71619
2,145,1.04584,4.67884,-0.0290238,0.501177,-0.864858,0.244661,0.3329
1,165,2.62049,5.42299,0.324734,-0.867269,-0.377348,0.363095,0.834127
8,95,0.98315,1.18231,0.315249,0.554404,0.77023,0.68817,0.312946
0,200,0.228933,5.79699,0.20064,0.973909,-0.106041,0.422619,0.0728716
5,145,1.05926,3.01998,-0.865555,0.489516,0.105782,0.980645,0.337174
3,20,2.1957,4.39396,-0.253914,-0.585015,-0.77025,0.19932,0.698912
8,40,0.946117,1.37308,0.159333,0.584837,0.795348,0.718533,0.301158
5,190,1.05926,2.84674,-0.834363,0.489516,0.253403,0.953072,0.337174
4,20,2.32627,3.85879,-0.548615,-0.685637,-0.47846,0.114146,0.740476
2,190,1.11491,4.57775,-0.120524,0.440257,-0.889746,0.228571,0.354887
4,140,1.36268,3.54023,-0.901703,0.20662,-0.379789,0.0634454,0.433753
0,160,2.86973,6.15499,0.266319,-0.963274,-0.034328,0.479598,0.913465
9,90,1.19577,0.601494,0.767186,0.366301,0.526545,0.595731,0.380624
3,140,1.35438,4.17433,-0.500516,0.214735,-0.838673,0.164365,0.431111
8,120,2.64854,1.16719,0.185891,-0.880891,0.435288,0.685764,0.843056
7,160,2.88037,1.52606,0.0115497,-0.966075,0.258005,0.74288,0.91685
7,175,2.05185,1.54088,0.0265204,-0.462716,0.88611,0.745238,0.653125
8,135,1.48362,1.04462,0.500324,0.0870701,0.861449,0.666256,0.47225
3,155,0.488316,4.06544,-0.282775,0.883124,-0.374339,0.147035,0.155436
9,85,1.67161,0.557421,0.844313,-0.100646,0.526313,0.588716,0.532091
0,175,1.99909,5.90475,0.84531,-0.415323,-0.336091,0.439771,0.636332
4,155,0.497419,3.56089,-0.435826,0.878817,-0.194259,0.0667328,0.158333
0,15,2.5667,0.0902936,0.541527,-0.839252,0.0490298,0.514371,0.817007
2,185,1.28406,4.62263,-0.0859792,0.28282,-0.955312,0.235714,0.40873
4,35,1.34363,3.85579,-0.736204,0.225221,-0.638184,0.113668,0.42769
7,15,2.46918,2.19085,-0.361938,-0.782322,0.506925,0.848684,0.785965
5,185,1.26462,2.82743,-0.906825,0.301419,0.294645,0.95,0.40254
3,35,1.36004,4.46511,-0.239351,0.209203,-0.948127,0.210644,0.432913
8,45,0.631643,1.43217,0.0815946,0.807058,0.584807,0.727937,0.201058
3,25,1.8612,4.45191,-0.24676,-0.286335,-0.925809,0.208543,0.592437
5,195,0.784983,2.78338,-0.661949,0.707401,0.247806,0.942989,0.249868
4,25,1.88558,3.86029,-0.715678,-0.30961,-0.626056,0.114385,0.600198
0,5,3.07531,0.0299201,0.0661995,-0.997804,0.00198129,0.504762,0.978903
2,195,0.820758,4.56279,-0.109049,0.681667,-0.723491,0.22619,0.261255
4,145,1.07293,3.48926,-0.826035,0.477553,-0.299347,0.0553333,0.341524
1,200,0.278111,5.1574,0.118181,0.961576,-0.247801,0.320826,0.0885255
9,95,1.03159,0.564576,0.724949,0.513457,0.459141,0.589855,0.328364
0,165,2.52823,5.87225,0.527697,-0.817719,-0.229938,0.434598,0.804762
8,125,2.24013,1.07277,0.374619,-0.620467,0.688971,0.670737,0.713057
3,145,1.05898,4.16975,-0.450226,0.489758,-0.746615,0.163636,0.337085
7,165,2.66419,1.54455,0.0120578,-0.888189,0.459319,0.745823,0.848037
6,200,0.408193,2.42138,-0.298374,0.917839,0.261808,0.885374,0.129932
7,170,2.25075,1.4627,0.0838932,-0.628758,0.773062,0.732796,0.716436
3,150,0.667214,4.18243,-0.312801,0.785548,-0.533919,0.165655,0.212381
8,130,1.81274,1.03688,0.494086,-0.239585,0.83575,0.665025,0.577011
0,170,2.19602,5.83955,0.73234,-0.585278,-0.348034,0.429392,0.699015
9,80,1.9891,0.592645,0.757949,-0.406211,0.510397,0.594322,0.63315
4,150,0.733038,3.59127,-0.60261,0.743145,-0.290855,0.0715686,0.233333
2,180,1.7446,4.65299,-0.0584703,-0.172926,-0.983198,0.240546,0.555322
0,10,2.73699,0.10506,0.39148,-0.91926,0.0412807,0.516721,0.871212
4,30,1.56225,3.87997,-0.739532,0.00854847,-0.673067,0.117517,0.497279
5,180,1.76169,2.77896,-0.917985,-0.189732,0.34829,0.942286,0.560762
7,10,2.78061,1.85853,-0.10023,-0.93555,0.338673,0.795795,0.885096
3,30,1.5649,4.48391,-0.226492,0.00589327,-0.973995,0.213636,0.498124
8,50,0.39727,1.46251,0.0418127,0.922121,0.384636,0.732766,0.126455
5,155,0.484105,2.96566,-0.458232,0.885092,0.0814584,0.972,0.154095
1,175,2.05005,5.33216,0.51541,-0.461117,-0.722305,0.348639,0.652551
8,85,1.7065,1.18023,0.377207,-0.135292,0.916194,0.68784,0.543197
9,135,1.47356,0.42003,0.908763,0.0970866,0.405861,0.56685,0.469048
2,155,0.471647,4.63378,-0.0356789,0.890821,-0.452951,0.237489,0.15013
6,175,2.0167,2.18174,-0.517552,-0.431273,0.739015,0.847235,0.641935
2,35,1.31406,5.09845,0.364203,0.253921,-0.896036,0.311444,0.41828
6,15,2.5992,2.63641,-0.451708,-0.856475,0.24982,0.919597,0.82735
4,185,1.3075,3.40987,-0.930998,0.260264,-0.25594,0.0426984,0.41619
5,35,1.3759,3.24423,-0.975905,0.193664,-0.100522,0.016336,0.437963
1,15,2.53095,5.68796,0.47478,-0.819282,-0.321497,0.405267,0.805628
3,185,1.2716,4.01815,-0.611374,0.294755,-0.734399,0.139509,0.404762
3,190,1.0753,4.0197,-0.561808,0.475465,-0.676982,0.139755,0.34228
5,20,2.23402,3.17507,-0.787569,-0.615662,-0.026379,0.0053288,0.711111
4,190,1.12761,3.32859,-0.887639,0.428823,-0.167951,0.0297619,0.358929
2,20,2.31837,5.17957,0.330275,-0.679859,-0.654759,0.324354,0.737959
9,40,1.00232,0.666787,0.662221,0.538351,0.521193,0.606122,0.319048
6,160,2.89881,2.21011,-0.143437,-0.970673,0.192927,0.85175,0.922719
2,140,1.33298,4.7614,0.0476086,0.235577,-0.970689,0.2578,0.424302
9,120,2.55111,0.37444,0.518182,-0.830674,0.203635,0.559594,0.812045
8,90,1.19886,1.20763,0.330947,0.363419,0.870862,0.6922,0.381609
1,160,2.90519,5.45651,0.158635,-0.972186,-0.172303,0.36843,0.92475
5,140,1.35963,2.97013,-0.963449,0.2096,0.166835,0.972711,0.432784
3,40,1.08733,4.35773,-0.307471,0.464847,-0.830288,0.193554,0.346109
8,20,2.30383,1.33571,0.173098,-0.669131,0.722704,0.712585,0.733333
4,40,1.03501,3.83308,-0.662356,0.510519,-0.54832,0.110053,0.329453
9,190,0.970584,0.287866,0.79126,0.564817,0.234284,0.545815,0.308947
0,60,3.07487,1.85848,-0.018917,-0.997775,0.0639329,0.795786,0.978762
4,120,2.56161,3.55779,-0.501231,-0.83647,-0.221552,0.0662393,0.815385
2,90,1.24757,4.93996,0.21393,0.317627,-0.923768,0.286219,0.397114
